"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"A";"Agilent Technologies Inc";"Health Care";68.43;2.1648207;4227645;2.1;0.528
"AAL";"American Airlines Group";"Industrials";50.09;3.5773356;5437809;3.9;0.4
"AAP";"Advance Auto Parts";"Consumer Discretionary";109.48;0.3115301;1181363;4.763;0.24
"AAPL";"Apple Inc.";"Information Technology";162.71;4.0278773;60819539;9.7;2.46
"ABBV";"AbbVie Inc.";"Health Care";111.93;0.5660352;4823261;3.3;2.63
"ABC";"AmerisourceBergen Corp";"Health Care";89.45;0.29150635;2157414;4.42;1.475
"ABT";"Abbott Laboratories";"Health Care";57.41;0.41980353;8232063;0.271;1.075
"ACN";"Accenture plc";"Information Technology";154.95;0.72152925;2273661;5.642;2.54
"ADBE";"Adobe Systems Inc";"Information Technology";192.15;2.2128773;2824726;3.38;NA
"ADI";"Analog Devices, Inc.";"Information Technology";85.05;1.3344486;3287666;2.07;1.8
"ADM";"Archer-Daniels-Midland Co";"Consumer Staples";41.27;-0.53025115;6433474;2.788;1.28
"ADP";"Automatic Data Processing";"Information Technology";111.65;0.19743447;2040647;3.87;2.34
"ADS";"Alliance Data Systems";"Information Technology";248.29;3.1661592;594776;14.1;2.08
"ADSK";"Autodesk Inc";"Information Technology";108.38;2.3031855;1994120;-2.576;NA
"AEE";"Ameren Corp";"Utilities";55.07;-0.6315382;1789098;2.512;1.76
"AEP";"American Electric Power";"Utilities";64.8;0.123612225;3538230;3.889;2.39
"AES";"AES Corp";"Utilities";10.27;0.6862809;9008788;-1.166;0.47
"AET";"Aetna Inc";"Health Care";177.38;0.5612594;4543459;5.677;2
"AFL";"AFLAC Inc";"Financials";85.13;0.42467928;1889596;10.96;1.74
"AGN";"Allergan, Plc";"Health Care";162.46;-0.19045128;3066724;-13.197;2.8
"AIG";"American International Group, Inc.";"Financials";59.61;-1.0129535;6074085;-2.581;1.28
"AIZ";"Assurant Inc";"Financials";87.52;-0.55676115;526386;9.39;2.15
"AIV";"Apartment Investment & Management";"Real Estate";39.27;-0.17793517;1428773;1.96;1.46
"AJG";"Arthur J. Gallagher & Co.";"Financials";66.21;1.955646;1266981;2.54;1.56
"AKAM";"Akamai Technologies Inc";"Information Technology";64.93;1.247471;1609848;1.672;NA
"ALB";"Albemarle Corp";"Materials";111.59;3.5926433;2637077;7.766;1.265
"ALGN";"Align Technology";"Health Care";233.13;1.6392771;1206753;2.83;NA
"ALK";"Alaska Air Group Inc";"Industrials";66.01;1.9932028;3346500;8.3;1.2
"ALL";"Allstate Corp";"Financials";90.73;-0.1760326;4116987;8.36;1.48
"ALLE";"Allegion";"Industrials";79.75;1.6053028;1010618;3.518;0.6
"ALXN";"Alexion Pharmaceuticals";"Health Care";115.43;6.2891364;2659627;1.97;NA
"AMAT";"Applied Materials Inc";"Information Technology";49.5;2.953407;16326069;3.17;0.4
"AMD";"Advanced Micro Devices Inc";"Information Technology";11.68;3.27144;63160875;0.04;NA
"AME";"AMETEK Inc";"Industrials";74;2.3513098;1739764;2.94;0.36
"AMG";"Affiliated Managers Group Inc";"Financials";181.19;0.5270733;381060;12.031;0.8
"AMGN";"Amgen Inc";"Health Care";174.87;0.8128608;4324697;2.69;4.6
"AMP";"Ameriprise Financial";"Financials";155.91;1.319209;1079021;9.44;3.24
"AMZN";"Amazon.com Inc";"Consumer Discretionary";1386.23;3.4808903;6738944;6.15;NA
